Timestamp,Status,Gen,Fitness,PnL,WinRate,PF,Sharpe,MaxDD,Trades,MutRate,TP,SL,Risk,Cooldown,Conf,TimeSec
2026-05-21 03:16:16,RECORD,1,-158313.93,-62.6359,1.25,0.01,-45.93,6.2636,26827,0.15,0.013414,0.014073,0.010668,1215,0.438,446.99
2026-05-21 03:23:47,RECORD,2,-156355.05,-62.6371,1.86,0.01,-44.18,6.2637,26258,0.15,0.008647,0.014073,0.010668,1215,0.438,451.15
2026-05-21 03:31:10,RECORD,3,-131804.97,-19.1487,0.93,0.00,-62.84,1.9149,6907,0.15,0.004232,0.009087,0.010195,2574,0.394,442.66
2026-05-21 03:38:26,RECORD,4,-106043.93,-19.1481,2.00,0.01,-37.56,1.9148,8947,0.15,0.014373,0.007243,0.010195,2574,0.447,436.64
2026-05-21 03:45:40,RECORD,5,-49516.68,-0.6153,8.47,0.19,-8.56,0.0615,307,0.15,0.007846,0.008495,0.010676,2574,0.438,433.36
2026-05-21 03:52:43,RECORD,6,-43085.63,-0.3412,18.52,0.28,-6.73,0.0341,189,0.15,0.004900,0.007954,0.010668,4339,0.398,423.30
2026-05-21 03:59:40,RECORD,7,-32731.38,-0.2193,18.52,0.44,-4.34,0.0219,81,0.15,0.011696,0.013905,0.013895,4662,0.437,417.11
2026-05-21 04:06:36,RECORD,8,-32293.36,-0.3881,20.41,0.44,-3.99,0.0388,196,0.15,0.003368,0.013224,0.010651,2574,0.431,415.77
2026-05-21 04:13:32,RECORD,9,-30003.54,-0.1607,12.82,0.48,-3.60,0.0161,78,0.15,0.004232,0.007954,0.010668,4339,0.394,415.90
2026-05-21 04:20:26,RECORD,10,-28162.16,-1.5533,28.88,0.53,-3.21,0.1553,703,0.15,0.011696,0.011546,0.015062,2574,0.428,414.52
2026-05-21 04:27:20,UPDATE,11,-28162.16,-1.5533,28.88,0.53,-3.21,0.1553,703,0.20,0.011696,0.011546,0.015062,2574,0.428,414.03
2026-05-21 04:34:16,RECORD,12,-26708.08,-0.1344,25.00,0.53,-3.15,0.0134,80,0.15,0.007974,0.013683,0.010668,2539,0.391,415.39
2026-05-21 04:41:09,UPDATE,13,-26708.08,-0.1344,25.00,0.53,-3.15,0.0134,80,0.20,0.007974,0.013683,0.010668,2539,0.391,413.44
2026-05-21 04:48:03,UPDATE,14,-26708.08,-0.1344,25.00,0.53,-3.15,0.0134,80,0.25,0.007974,0.013683,0.010668,2539,0.391,414.18
2026-05-21 04:54:56,RECORD,15,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.15,0.004232,0.007954,0.012409,4796,0.391,412.27
2026-05-21 05:01:49,UPDATE,16,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.20,0.004232,0.007954,0.012409,4796,0.391,413.41
2026-05-21 05:08:44,UPDATE,17,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.25,0.004232,0.007954,0.012409,4796,0.391,414.53
2026-05-21 05:15:36,UPDATE,18,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.30,0.004232,0.007954,0.012409,4796,0.391,412.03
2026-05-21 05:22:30,UPDATE,19,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.35,0.004232,0.007954,0.012409,4796,0.391,414.12
2026-05-21 05:29:23,UPDATE,20,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.40,0.004232,0.007954,0.012409,4796,0.391,413.11
2026-05-21 05:36:15,UPDATE,21,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.45,0.004232,0.007954,0.012409,4796,0.391,412.02
2026-05-21 05:43:08,UPDATE,22,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,412.79
2026-05-21 05:50:01,UPDATE,23,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,413.20
2026-05-21 05:56:54,UPDATE,24,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.60,0.004232,0.007954,0.012409,4796,0.391,413.22
2026-05-21 06:04:07,UPDATE,25,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,432.56
2026-05-21 06:11:03,UPDATE,26,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,416.76
2026-05-21 06:17:56,UPDATE,27,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,412.96
2026-05-21 06:24:48,UPDATE,28,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,412.01
2026-05-21 06:31:42,UPDATE,29,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,413.81
2026-05-21 06:38:34,UPDATE,30,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,412.30
2026-05-21 06:45:27,UPDATE,31,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,412.26
2026-05-21 06:52:20,UPDATE,32,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,413.58
2026-05-21 06:59:15,UPDATE,33,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.60,0.004232,0.007954,0.012409,4796,0.391,415.14
2026-05-21 07:06:27,UPDATE,34,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,431.67
2026-05-21 07:13:24,UPDATE,35,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,417.09
2026-05-21 07:20:18,UPDATE,36,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,413.74
2026-05-21 07:27:09,UPDATE,37,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,411.00
2026-05-21 07:34:04,UPDATE,38,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,414.83
2026-05-21 07:40:57,UPDATE,39,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,413.34
2026-05-21 07:47:50,UPDATE,40,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,412.50
2026-05-21 07:54:43,UPDATE,41,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,413.58
2026-05-21 08:01:38,UPDATE,42,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.60,0.004232,0.007954,0.012409,4796,0.391,414.38
2026-05-21 08:08:49,UPDATE,43,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,431.04
2026-05-21 08:15:43,UPDATE,44,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,413.86
2026-05-21 08:22:38,UPDATE,45,-12834.89,-0.0846,19.30,0.77,-1.43,0.0085,57,0.50,0.004232,0.007954,0.012409,4796,0.391,415.95
2026-05-21 08:29:31,RECORD,46,-12285.24,-0.2191,21.28,0.78,-1.13,0.0219,94,0.15,0.008688,0.013257,0.017816,4678,0.402,412.92
2026-05-21 08:36:25,UPDATE,47,-12285.24,-0.2191,21.28,0.78,-1.13,0.0219,94,0.20,0.008688,0.013257,0.017816,4678,0.402,413.78
2026-05-21 08:43:23,RECORD,48,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.15,0.004232,0.015000,0.014423,4775,0.406,418.06
